user_id,zone_id,first_name,last_name,middle_name,email,phone_number,date_of_birth,password_hash,system_role,account_status,created_at,updated_at
USR-2026-0001,,Manuel,Admin,,admin@zoneguard.demo,9170238728,1985-01-01,123admin@zoneguard,ADMIN,ACTIVE,2010-01-01 00:00:00,2026-01-01 00:00:00
USR-2026-0002,Z-3,Victorio,Director,,victorio.director@zoneguard.demo,9171187228,1967-06-15,123zone3dir@zoneguard,DIRECTOR,ACTIVE,2012-01-01 00:00:00,2026-01-01 00:00:00
USR-2026-0003,Z-3,Marilou,Collector,,marilou.collector@zoneguard.demo,9172376280,1983-08-20,123zone3col@zoneguard,COLLECTOR,ACTIVE,2016-01-01 00:00:00,2026-01-01 00:00:00
USR-2026-0004,Z-3,Thelma,Ipac,,thelma.ipac1@zoneguard.demo,9174853339,1970-11-04,$2b$12$b6B2Pp5n05J3hWirEsafVOx.4XkqbdawGd3BYYPZM0olBh04iQOX.,HOMEOWNER,ACTIVE,2018-05-01 00:00:00,2026-01-01 00:00:00
USR-2026-0005,Z-3,Manuel,Peralta,,manuel.peralta2@zoneguard.demo,9179306461,1972-11-17,$2b$12$fvx8Cx8s3ccLWVfZK7IAHeEH4vTUfkZzc9Avz9.ZnuXaykdnlCMO2,HOMEOWNER,ACTIVE,2019-12-29 00:00:00,2026-01-01 00:00:00
USR-2026-0006,Z-3,Erlinda,Antonio,,erlinda.antonio3@zoneguard.demo,9179658144,1973-08-01,$2b$12$Yu7dFHNpk5Hw9WsyS9bTcu2E1WVZ6yC9b5ojplyJdbgvYBjVBSTDq,HOMEOWNER,ACTIVE,2025-03-17 00:00:00,2026-01-01 00:00:00
USR-2026-0007,Z-3,Delia,Generalao,,delia.generalao4@zoneguard.demo,9175341747,1959-01-14,$2b$12$0E3FqW7SZ0GiwrEwGeWr9ufrqRkUUqfLofLmleK6G6hvOcv62mIam,HOMEOWNER,ACTIVE,2023-07-06 00:00:00,2026-01-01 00:00:00
USR-2026-0008,Z-3,Louie,Cruz,,louie.cruz5@zoneguard.demo,9172983509,1987-07-01,$2b$12$JwxqTi/.WJz2TTl9/kVbDuqpmnGhi0fRniEXlERNkKFl9keUiAfG.,HOMEOWNER,ACTIVE,2019-10-03 00:00:00,2026-01-01 00:00:00
USR-2026-0009,Z-3,Forfirio,Rivera,,forfirio.rivera6@zoneguard.demo,9174080761,1978-06-19,$2b$12$iBWoue/d0d2ruV0isdxmE.Sqx8JCqc/efUUhYZz3LxWwyUTgknHCW,HOMEOWNER,ACTIVE,2018-11-10 00:00:00,2026-01-01 00:00:00
USR-2026-0010,Z-3,Dalin,Trinidad,,dalin.trinidad7@zoneguard.demo,9174503157,1980-08-13,$2b$12$GDClIvXtlQo.u/TczcmybuBB1TbUyWM0mhE.5CHVlAN7qTCORxC/O,HOMEOWNER,ACTIVE,2022-07-30 00:00:00,2026-01-01 00:00:00
USR-2026-0011,Z-3,Alberto,Abadilia,,alberto.abadilia8@zoneguard.demo,9171144356,1982-04-24,$2b$12$Nlrw5q6Ng6xEDFg5I0YP2OmO5uQYyoeCUwJDywACpQjkP55EEdgVi,HOMEOWNER,ACTIVE,2018-02-20 00:00:00,2026-01-01 00:00:00
USR-2026-0012,Z-3,Nick,Allado,,nick.allado9@zoneguard.demo,9172086880,1987-08-23,$2b$12$fX0sgUvcFl20TaJgL.TPK.dTOVUE14loatHYK8db9sI9B1N5zSJdW,HOMEOWNER,ACTIVE,2019-09-27 00:00:00,2026-01-01 00:00:00
USR-2026-0013,Z-3,Mario,Hementera,,mario.hementera10@zoneguard.demo,9174264908,1972-06-07,$2b$12$zmj7yp7Xy9namIZlWv1gIOb/AoJbUKgJrTA/ARK2gKjEZz9AE31Hu,HOMEOWNER,ACTIVE,2022-10-31 00:00:00,2026-01-01 00:00:00
